catalog_id,common_name,scientific_name_as_source,plant_type_as_source,catalog_status,crop_contexts,regulatory_tier,usda_match_status,usda_symbol_candidate,habitat_flags_auto_for_review,vt_profile_url
VT-584,common yellow oxalis,Oxalis stricta,broadleaf,source_index_only,,,matched,OXST,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/584/
VT-166,controverial weissia moss,Weissia controversa,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/166/
VT-195,coon's tail,Ceratophyllum demersum,broadleaf,source_index_only,,,matched,CEDE4,aquatic_wetland,https://weedid.cals.vt.edu/profile/195/
VT-418,coralberry,Symphoricarpos orbiculatus,broadleaf,source_index_only,,,matched,SYOR,pasture_forage,https://weedid.cals.vt.edu/profile/418/
VT-76,corn chamomile,Anthemis arvensis,broadleaf,crop_context_sourced,small_grains,,matched,ANAR6,pasture_forage,https://weedid.cals.vt.edu/profile/76/
VT-78,corn gromwell,Buglossoides arvensis,broadleaf,source_index_only,,,matched,BUAR3,roadside_disturbed,https://weedid.cals.vt.edu/profile/78/
VT-82,corn speedwell,Veronica arvensis,broadleaf,source_index_only,,,matched,VEAR,agronomic_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/82/
VT-81,corn spurry,Spergula arvensis,broadleaf,source_index_only,,,matched,SPAR,,https://weedid.cals.vt.edu/profile/81/
VT-629,cow pea,Vigna unguiculata,broadleaf,source_index_only,,,matched,VIUN,,https://weedid.cals.vt.edu/profile/629/
VT-288,crape myrtle,Lagerstroemia indica,broadleaf,source_index_only,,,matched,LAIN,turf_landscape,https://weedid.cals.vt.edu/profile/288/
VT-581,creeping bentgrass,Agrostis stolonifera,grass_or_grasslike,source_index_only,,,matched,AGST2,turf_landscape,https://weedid.cals.vt.edu/profile/581/
VT-515,creeping lespedeza,Lespedeza repens,broadleaf,source_index_only,,,matched,LERE2,,https://weedid.cals.vt.edu/profile/515/
VT-426,creeping primrose,Ludwigia palustris,broadleaf,source_index_only,,,matched,LUPA,aquatic_wetland,https://weedid.cals.vt.edu/profile/426/
VT-308,creeping strawberry bush,Euonymus kiautschovicus,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/308/
VT-171,creeping woodsorrel,Oxalis corniculata,broadleaf,source_index_only,,,matched,OXCO,,https://weedid.cals.vt.edu/profile/171/
VT-591,creeping yellowcress,Rorippa sylvestris,broadleaf,source_index_only,,,matched,ROSY,,https://weedid.cals.vt.edu/profile/591/
VT-311,crosswort,Cruciata laevipes,broadleaf,source_index_only,,,unmatched_requires_review,,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/311/
VT-715,crowfootgrass,Dactyloctenium aegyptium,grass_or_grasslike,source_index_only,,,matched,DAAE,,https://weedid.cals.vt.edu/profile/715/
VT-638,crownvetch,Coronilla varia,broadleaf,source_index_only,,,matched,SEVA4,,https://weedid.cals.vt.edu/profile/638/
VT-7,cucumber-tree,Magnolia acuminata,broadleaf,source_index_only,,,matched,MAAC,,https://weedid.cals.vt.edu/profile/7/
VT-176,curly dock,Rumex crispus,broadleaf,source_index_only,,,matched,RUCR,pasture_forage; horticultural_crops; roadside_disturbed,https://weedid.cals.vt.edu/profile/176/
VT-175,curly pondweed,Potamogeton crispus,broadleaf,source_index_only,,,matched,POCR3,,https://weedid.cals.vt.edu/profile/175/
VT-316,curlytop knotweed,Polygonum lapathifolium,broadleaf,source_index_only,,,matched,POLA4,aquatic_wetland; roadside_disturbed,https://weedid.cals.vt.edu/profile/316/
VT-541,cursed buttercup,Ranunculus sceleratus,broadleaf,source_index_only,,,matched,RASC3,roadside_disturbed,https://weedid.cals.vt.edu/profile/541/
VT-309,cutleaf evening primrose,Oenothera laciniata,broadleaf,source_index_only,,,matched,OELA,,https://weedid.cals.vt.edu/profile/309/
VT-203,cutleaf geranium,Geranium dissectum,broadleaf,source_index_only,,,matched,GEDI,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/203/
VT-186,cypress spurge,Euphorbia cyparissias,broadleaf,source_index_only,,,matched,EUCY2,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/186/
VT-501,cypressvine,Ipomoea quamoclit,broadleaf,source_index_only,,,matched,IPQU,,https://weedid.cals.vt.edu/profile/501/
VT-201,dallisgrass,Paspalum dilatatum,grass_or_grasslike,source_index_only,,,matched,PADI3,pasture_forage; turf_landscape,https://weedid.cals.vt.edu/profile/201/
VT-343,dames rocket,Hesperis matronalis,broadleaf,source_index_only,,,matched,HEMA3,,https://weedid.cals.vt.edu/profile/343/
VT-578,deerberry,Viccinium stamineum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/578/
VT-157,deertongue,Dichanthelium clandestinum,grass_or_grasslike,source_index_only,,,matched,DICL,,https://weedid.cals.vt.edu/profile/157/
VT-193,delicate thuidium moss,Thuidium delicatulum,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/193/
VT-67,Deptford pink,Dianthus armeria,broadleaf,source_index_only,,,matched,DIAR,,https://weedid.cals.vt.edu/profile/67/
VT-190,devil in the bush,Nigella damascena,broadleaf,source_index_only,,,matched,NIDA,,https://weedid.cals.vt.edu/profile/190/
VT-235,devil's beggartick,Bidens frondosa,broadleaf,source_index_only,,,matched,BIFR,,https://weedid.cals.vt.edu/profile/235/
VT-610,devil's grandmother,Elephantopus tomentosus,broadleaf,source_index_only,,,matched,ELTO2,,https://weedid.cals.vt.edu/profile/610/
VT-574,devil's walkingstick,Aralia spinosa,broadleaf,source_index_only,,,matched,ARSP2,roadside_disturbed,https://weedid.cals.vt.edu/profile/574/
VT-342,disc mayweed,Matricaria matricarioides,broadleaf,source_index_only,,,matched,MADI6,roadside_disturbed,https://weedid.cals.vt.edu/profile/342/
VT-132,dogfennel,Eupatorium capillifolium,broadleaf,crop_context_sourced,pasture_hay,,matched,EUCA5,,https://weedid.cals.vt.edu/profile/132/
VT-817,dotted smartweed,Polygonum punctatum,broadleaf,source_index_only,,,matched,POPU5,,https://weedid.cals.vt.edu/profile/817/
VT-355,dovefoot geranium,Geranium molle,broadleaf,source_index_only,,,matched,GEMO,pasture_forage; turf_landscape,https://weedid.cals.vt.edu/profile/355/
VT-742,doveweed,Murdannia nudiflora,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/742/
VT-636,duckweed,Lemna valdiviana,broadleaf,source_index_only,,,matched,LEVA,,https://weedid.cals.vt.edu/profile/636/
VT-640,early yellowrocket,Barbarea verna,broadleaf,source_index_only,,,matched,BAVE,,https://weedid.cals.vt.edu/profile/640/
VT-262,eastern baccharis,Baccharis halimifolia,broadleaf,source_index_only,,,matched,BAHA,,https://weedid.cals.vt.edu/profile/262/
VT-481,eastern black nightshade,Solanum ptycanthum,broadleaf,crop_context_sourced,corn; soybean,,matched,SOPT7,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/481/
VT-85,eastern blue-eyed grass,Sisyrinchium atlanticum,grass_or_grasslike,source_index_only,,,matched,SIAT,,https://weedid.cals.vt.edu/profile/85/
VT-194,eastern cottonwood,Populus deltoides,broadleaf,source_index_only,,,matched,PODE3,,https://weedid.cals.vt.edu/profile/194/
VT-55,eastern daisy fleabane,Erigeron annuus,broadleaf,source_index_only,,,matched,ERAN,roadside_disturbed,https://weedid.cals.vt.edu/profile/55/
VT-188,eastern gamagrass,Tripsacum dactyloides,grass_or_grasslike,source_index_only,,,matched,TRDA3,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/188/
VT-506,eastern poison ivy,Toxicodendron radicans,broadleaf,source_index_only,,,matched,TORA2,,https://weedid.cals.vt.edu/profile/506/
VT-121,eastern redbud,Cercis canadensis,broadleaf,source_index_only,,,matched,CECA4,,https://weedid.cals.vt.edu/profile/121/
VT-657,eastern redcedar,Juniperus virginiana,broadleaf,source_index_only,,,matched,JUVI,,https://weedid.cals.vt.edu/profile/657/
VT-104,eastern woodland sedge,Carex blanda,grass_or_grasslike,source_index_only,,,matched,CABL,,https://weedid.cals.vt.edu/profile/104/
VT-135,edible fig,Ficus carica,broadleaf,source_index_only,,,matched,FICA,,https://weedid.cals.vt.edu/profile/135/
VT-268,English ivy,Hedera helix,broadleaf,source_index_only,,,matched,HEHE,,https://weedid.cals.vt.edu/profile/268/
VT-96,English yew,Taxus baccata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/96/
VT-573,Eurasian watermilfoil,Myriophyllum spicatum,broadleaf,source_index_only,,,matched,MYSP2,,https://weedid.cals.vt.edu/profile/573/
VT-416,European cranberrybush,Viburnum opulus,broadleaf,source_index_only,,,matched,VIOP,,https://weedid.cals.vt.edu/profile/416/
VT-83,European field pansy,Viola arvensis,broadleaf,source_index_only,,,matched,VIAR,agronomic_crops; horticultural_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/83/
VT-335,European lily of the valley,Convallaria majalis,grass_or_grasslike,source_index_only,,,matched,COMA7,,https://weedid.cals.vt.edu/profile/335/
VT-386,eyebane,Chamaesyce nutans,broadleaf,source_index_only,,,matched,CHNU9,,https://weedid.cals.vt.edu/profile/386/
VT-197,fall panicgrass,Panicum dicotomiflorum,grass_or_grasslike,source_index_only,,,unmatched_requires_review,,horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/197/
VT-431,fall phlox,Phlox paniculata,broadleaf,source_index_only,,,matched,PHPA9,,https://weedid.cals.vt.edu/profile/431/
VT-479,false daisy,Eclipta prostrata,broadleaf,source_index_only,,,matched,ECPR,,https://weedid.cals.vt.edu/profile/479/
VT-200,fan clubmoss,Lycopodium digitatum,broadleaf,source_index_only,,,matched,LYDI3,,https://weedid.cals.vt.edu/profile/200/
VT-429,Fernald's yellowcress,Rorippa palustris spp. fernaldiana,broadleaf,source_index_only,,,matched,ROPA2,pasture_forage; horticultural_crops,https://weedid.cals.vt.edu/profile/429/
VT-484,fiddle dock,Rumex pulcher,broadleaf,source_index_only,,,matched,RUPU3,,https://weedid.cals.vt.edu/profile/484/
VT-79,field bindweed,Convolvulus arvensis,broadleaf,crop_context_sourced,pasture_hay,,matched,COAR4,agronomic_crops; horticultural_crops,https://weedid.cals.vt.edu/profile/79/
VT-77,field brome,Bromus arvensis,grass_or_grasslike,source_index_only,,,matched,BRAR5,,https://weedid.cals.vt.edu/profile/77/
VT-73,field horsetail,Equisetum arvense,broadleaf,source_index_only,,,matched,EQAR,pasture_forage; horticultural_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/73/
VT-772,field madder,Sherardia arvensis,broadleaf,source_index_only,,,matched,SHAR2,,https://weedid.cals.vt.edu/profile/772/
VT-509,field mustard,Brassica rapa,broadleaf,source_index_only,,,matched,BRRA,roadside_disturbed,https://weedid.cals.vt.edu/profile/509/
VT-98,field pansy,Viola bicolor,broadleaf,source_index_only,,,matched,VIBI,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/98/
VT-74,field pennycress,Thlaspi arvense,broadleaf,crop_context_sourced,small_grains; pasture_hay,,matched,THAR5,agronomic_crops; turf_landscape,https://weedid.cals.vt.edu/profile/74/
VT-117,field pepperweed,Lepidium campestre,broadleaf,source_index_only,,,matched,LECA5,turf_landscape,https://weedid.cals.vt.edu/profile/117/
VT-447,field pumpkin,Cucurbita pepo,broadleaf,source_index_only,,,matched,CUPE,,https://weedid.cals.vt.edu/profile/447/
VT-367,field pussytoes,Antennaria neglecta,broadleaf,source_index_only,,,matched,ANNE,,https://weedid.cals.vt.edu/profile/367/
VT-222,filamentous algae,Algae filimentous,other,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/222/
VT-445,fiveangled dodder,Cuscuta pentagona var. pentagona,unclassified,source_index_only,,,matched,CUPE3,,https://weedid.cals.vt.edu/profile/445/
VT-508,floating marshpennywort,Hydrocotyle ranunculoides,broadleaf,source_index_only,,,matched,HYRA,,https://weedid.cals.vt.edu/profile/508/
VT-818,floating primrose-willow,Ludwigia peploides,broadleaf,source_index_only,,,matched,LUPE5,,https://weedid.cals.vt.edu/profile/818/
VT-691,Florida beggarweed,Desmodium tortuosum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/691/
VT-619,flower of an hour,Hibiscus trionum,broadleaf,source_index_only,,,matched,HITR,agronomic_crops; horticultural_crops,https://weedid.cals.vt.edu/profile/619/
VT-570,flowering quince,Chaenomeles speciosa,broadleaf,source_index_only,,,matched,CHSP12,,https://weedid.cals.vt.edu/profile/570/
VT-810,fox sedge,Carex vulpinoidea,grass_or_grasslike,source_index_only,,,matched,CAVU2,,https://weedid.cals.vt.edu/profile/810/
VT-303,foxtail barley,Hordeum jubatum,grass_or_grasslike,source_index_only,,,matched,HOJU,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/303/
VT-296,foxtail millet,Setaria italica,grass_or_grasslike,source_index_only,,,matched,SEIT,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/296/
VT-401,fragrant flatsedge,Cyperus odoratus,grass_or_grasslike,source_index_only,,,matched,CYOD,,https://weedid.cals.vt.edu/profile/401/
VT-68,fragrant sumac,Rhus aromatica,broadleaf,source_index_only,,,matched,RHAR4,,https://weedid.cals.vt.edu/profile/68/
VT-686,frost grape,Vitis vulpina,broadleaf,source_index_only,,,matched,VIVU,,https://weedid.cals.vt.edu/profile/686/
VT-239,Fuller's teasel,Dipsacus fullonum,broadleaf,source_index_only,,,matched,DIFU2,roadside_disturbed,https://weedid.cals.vt.edu/profile/239/
VT-435,gallant soldier,Galinsoga parviflora,broadleaf,source_index_only,,,matched,GAPA2,,https://weedid.cals.vt.edu/profile/435/
VT-405,garden asparagus,Asparagus officinalis,broadleaf,source_index_only,,,matched,ASOF,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/405/
VT-184,garden cornflower,Centaurea cyanus,broadleaf,source_index_only,,,matched,CECY2,,https://weedid.cals.vt.edu/profile/184/
VT-538,garden lettuce,Lactuca sativa,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/538/
VT-520,garden rhubarb,Rheum rhaponticum,broadleaf,source_index_only,,,matched,RHRH2,,https://weedid.cals.vt.edu/profile/520/
VT-409,garden valerian,Valeriana officinalis,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/409/
VT-681,garden yellowrocket,Barbarea vulgaris,broadleaf,source_index_only,,,matched,BAVU,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/681/
VT-460,garlic mustard,Alliaria petiolata,broadleaf,crop_context_sourced,pasture_hay,Tier 3,matched,ALPE4,,https://weedid.cals.vt.edu/profile/460/
VT-148,germander speedwell,Veronica chamaedrys,broadleaf,source_index_only,,,matched,VECH,agronomic_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/148/
VT-218,giant foxtail,Setaria faberi,grass_or_grasslike,source_index_only,,,matched,SEFA,,https://weedid.cals.vt.edu/profile/218/
VT-248,giant goldenrod,Solidago giganteae,broadleaf,source_index_only,,,unmatched_requires_review,,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/248/
VT-247,giant ironweed,Vernonia gigantea,broadleaf,source_index_only,,,matched,VEGI,,https://weedid.cals.vt.edu/profile/247/
VT-24,glossy buckthorn,Frangula alnus,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/24/
VT-89,golden bamboo,Phyllostachys aurea,grass_or_grasslike,source_index_only,,,matched,PHAU8,turf_landscape,https://weedid.cals.vt.edu/profile/89/
VT-49,golden chain tree,Laburnum anagyroides,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/49/
VT-151,golden kiwi,Actinidia chinensis,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/151/
VT-88,golden ragwort,Packera aurea,broadleaf,source_index_only,,,matched,PAAU3,roadside_disturbed,https://weedid.cals.vt.edu/profile/88/
VT-258,grass-like starwort,Stellaria graminea,broadleaf,source_index_only,,,matched,STGR,,https://weedid.cals.vt.edu/profile/258/
VT-819,great blue lobelia,Lobelia siphilitica,broadleaf,source_index_only,,,matched,LOSI,,https://weedid.cals.vt.edu/profile/819/
VT-616,great ragweed,Ambrosia trifida,broadleaf,source_index_only,,,matched,AMTR,roadside_disturbed,https://weedid.cals.vt.edu/profile/616/
VT-292,greater bladder sedge,Carex intumescens,grass_or_grasslike,source_index_only,,,matched,CAIN12,,https://weedid.cals.vt.edu/profile/292/
VT-443,green ash,Fraxinus pennsylvanica,broadleaf,source_index_only,,,matched,FRPE,,https://weedid.cals.vt.edu/profile/443/
VT-645,green carpetweed,Mollugo verticillata,broadleaf,source_index_only,,,matched,MOVE,agronomic_crops; turf_landscape,https://weedid.cals.vt.edu/profile/645/
VT-11,green field speedwell,Veronica agrestis,broadleaf,source_index_only,,,matched,VEAG,,https://weedid.cals.vt.edu/profile/11/
VT-668,green foxtail,Setaria viridis,grass_or_grasslike,source_index_only,,,matched,SEVI4,roadside_disturbed,https://weedid.cals.vt.edu/profile/668/
VT-667,green hawthorn,Crataegus viridis,broadleaf,source_index_only,,,matched,CRVI2,,https://weedid.cals.vt.edu/profile/667/
VT-19,greenwhite sedge,Carex albolutescens,grass_or_grasslike,source_index_only,,,matched,CAAL5,,https://weedid.cals.vt.edu/profile/19/
VT-264,ground ivy,Glechoma hederacea,broadleaf,source_index_only,,,matched,GLHE2,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/264/
VT-33,groundnut,Apios americana,broadleaf,source_index_only,,,matched,APAM,,https://weedid.cals.vt.edu/profile/33/
VT-442,Guadeloupe cucumber,Melothria pendula,broadleaf,source_index_only,,,matched,MEPE3,,https://weedid.cals.vt.edu/profile/442/
VT-639,hairy angelica,Angelica venenosa,broadleaf,source_index_only,,,matched,ANVE,roadside_disturbed,https://weedid.cals.vt.edu/profile/639/
VT-274,hairy bittercress,Cardamine hirsuta,broadleaf,source_index_only,,,matched,CAHI3,turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/274/
VT-507,hairy cat's ear,Hypochaeris radicata,broadleaf,source_index_only,,,matched,HYRA3,,https://weedid.cals.vt.edu/profile/507/
VT-536,hairy crabgrass,Digitaria sanguinalis,grass_or_grasslike,source_index_only,,,matched,DISA,turf_landscape,https://weedid.cals.vt.edu/profile/536/
VT-647,hairy crabweed,Fatoua villosa,broadleaf,source_index_only,,,matched,FAVI,,https://weedid.cals.vt.edu/profile/647/
VT-798,hairy fleabane,Erigeron bonariensis,broadleaf,source_index_only,,,matched,COBO,,https://weedid.cals.vt.edu/profile/798/
VT-648,hairy vetch,Vicia villosa,broadleaf,crop_context_sourced,small_grains,,matched,VIVI,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/648/
VT-614,hairyfruit sedge,Carex trichocarpa,grass_or_grasslike,source_index_only,,,matched,CATR8,,https://weedid.cals.vt.edu/profile/614/
VT-483,hairyseed paspalum,Paspalum pubiflorum,grass_or_grasslike,source_index_only,,,matched,PAPU5,aquatic_wetland,https://weedid.cals.vt.edu/profile/483/
VT-617,hardy orange,Poncirus trifoliata,broadleaf,source_index_only,,,matched,POTR4,,https://weedid.cals.vt.edu/profile/617/
VT-527,hare's ear,Bupleurum rotundifolium,broadleaf,source_index_only,,,matched,BURO,,https://weedid.cals.vt.edu/profile/527/
VT-615,harlequin glorybower,Clerodendrum trichotomum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/615/
VT-434,harvestlice,Agrimonia parviflora,broadleaf,source_index_only,,,matched,AGPA6,,https://weedid.cals.vt.edu/profile/434/
VT-556,hazel alder,Alnus serrulata,broadleaf,source_index_only,,,matched,ALSE2,,https://weedid.cals.vt.edu/profile/556/
VT-799,heavenly bamboo,Nandina domestica,broadleaf,source_index_only,,,matched,NADO,,https://weedid.cals.vt.edu/profile/799/
VT-549,hedge bindweed,Calystegia sepium,broadleaf,crop_context_sourced,pasture_hay,,matched,CASE13,horticultural_crops,https://weedid.cals.vt.edu/profile/549/
VT-806,hedgehog woodrush,Luzula echinata,grass_or_grasslike,source_index_only,,,matched,LUEC,,https://weedid.cals.vt.edu/profile/806/
VT-406,hedgehyssop,Gratiola officinalis,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/406/
VT-402,hedgemustard,Sisymbrium offcinale,broadleaf,source_index_only,,,unmatched_requires_review,,horticultural_crops,https://weedid.cals.vt.edu/profile/402/
VT-128,hemp dogbane,Apocynum cannabinum,broadleaf,source_index_only,,,matched,APCA,roadside_disturbed,https://weedid.cals.vt.edu/profile/128/
VT-48,henbit deadnettle,Lamium amplexicaule,broadleaf,source_index_only,,,matched,LAAM,horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/48/
VT-107,hog peanut,Amphicarpa bracteata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/107/
VT-133,hogwort,Croton capitatus,broadleaf,source_index_only,,,matched,CRCA6,,https://weedid.cals.vt.edu/profile/133/
VT-613,honeylocust,Gleditsia triacanthos,broadleaf,source_index_only,,,matched,GLTR,,https://weedid.cals.vt.edu/profile/613/
VT-18,honeyvine milkweed,Ampelamus albidus,broadleaf,source_index_only,,,matched,CYLA,,https://weedid.cals.vt.edu/profile/18/
VT-793,hophornbeam copperleaf,Acalypha ostryifolia,broadleaf,source_index_only,,,matched,ACOS,,https://weedid.cals.vt.edu/profile/793/
VT-428,horned pondweed,Zannichellia palustris,broadleaf,source_index_only,,,matched,ZAPA,,https://weedid.cals.vt.edu/profile/428/
VT-136,horsenettle,Solanum carolinense,broadleaf,source_index_only,,,matched,SOCA3,pasture_forage; horticultural_crops,https://weedid.cals.vt.edu/profile/136/
VT-123,horseweed,Erigeron canadensis,broadleaf,crop_context_sourced,corn; soybean; small_grains; pasture_hay,,matched,,pasture_forage,https://weedid.cals.vt.edu/profile/123/
VT-245,humped bladderwort,Utricularia gibba,broadleaf,source_index_only,,,matched,UTGI,,https://weedid.cals.vt.edu/profile/245/
VT-283,hyssopleaf thoroughwort,Eupatorium hyssopifolium,broadleaf,source_index_only,,,matched,EUHY,,https://weedid.cals.vt.edu/profile/283/
VT-192,incense cedar,Calocedrus decurrens,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/192/
VT-287,Indian goosegrass,Eleusine indica,grass_or_grasslike,crop_context_sourced,corn; soybean,,matched,ELIN3,,https://weedid.cals.vt.edu/profile/287/
VT-286,Indian strawberry,Duchesnea indica,broadleaf,source_index_only,,,matched,DUIN2,turf_landscape,https://weedid.cals.vt.edu/profile/286/
VT-387,Indiangrass,Sorghastrum nutans,grass_or_grasslike,source_index_only,,,matched,SONU2,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/387/
VT-451,Italian ryegrass,Lolium perenne ssp. multiflorum,grass_or_grasslike,source_index_only,,,matched,LOPE,agronomic_crops; horticultural_crops; turf_landscape,https://weedid.cals.vt.edu/profile/451/
VT-159,itchgrass,Rottboellia cochinchinensis,grass_or_grasslike,source_index_only,,,unmatched_requires_review,,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/159/
VT-265,ivyleaf morningglory,Ipomoea hederacea,broadleaf,source_index_only,,,matched,IPHE,,https://weedid.cals.vt.edu/profile/265/
VT-266,ivyleaf speedwell,Veronica hederifolia,broadleaf,source_index_only,,,matched,VEHE2,agronomic_crops; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/266/
VT-626,jagged chickweed,Holosteum umbellatum,broadleaf,source_index_only,,,matched,HOUM,,https://weedid.cals.vt.edu/profile/626/
VT-605,Japanese barberry,Berberis thunbergii,broadleaf,source_index_only,,,matched,BETH,pasture_forage; roadside_disturbed,https://weedid.cals.vt.edu/profile/605/
VT-583,Japanese clover,Kummerowia striata,broadleaf,source_index_only,,,matched,KUST2,,https://weedid.cals.vt.edu/profile/583/
VT-557,Japanese flowering cherry,Prunus serrulata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/557/
VT-174,Japanese holly,Ilex crenata,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/174/
VT-300,Japanese honeysuckle,Lonicera japonica,broadleaf,source_index_only,,Tier 3,matched,LOJA,roadside_disturbed,https://weedid.cals.vt.edu/profile/300/
VT-302,Japanese hop,Humulus japonicus,broadleaf,source_index_only,,,matched,HUJA,pasture_forage,https://weedid.cals.vt.edu/profile/302/
VT-183,Japanese knotweed,Polygonum cuspidatum,broadleaf,crop_context_sourced,pasture_hay,,matched,POCU6,,https://weedid.cals.vt.edu/profile/183/
VT-422,Japanese maple,Acer palmatum,broadleaf,source_index_only,,,unmatched_requires_review,,,https://weedid.cals.vt.edu/profile/422/
VT-299,Japanese spindletree,Euonymus japonica,broadleaf,source_index_only,,,matched,EUJA8,,https://weedid.cals.vt.edu/profile/299/
VT-301,Japanese spirea,Spiraea japonica,broadleaf,source_index_only,,,matched,SPJA,,https://weedid.cals.vt.edu/profile/301/
VT-622,Jerusalem artichoke,Helianthus tuberosus,broadleaf,source_index_only,,,matched,HETU,,https://weedid.cals.vt.edu/profile/622/
VT-540,jetbead,Rhodotypos scandens,broadleaf,source_index_only,,,matched,RHSC3,,https://weedid.cals.vt.edu/profile/540/
VT-129,jewelweed,Impatiens capensis,broadleaf,source_index_only,,,matched,IMCA,turf_landscape; aquatic_wetland,https://weedid.cals.vt.edu/profile/129/
VT-582,jimsonweed,Datura stramonium,broadleaf,crop_context_sourced,corn; soybean; pasture_hay,,matched,DAST,agronomic_crops,https://weedid.cals.vt.edu/profile/582/
VT-261,Johnsongrass,Sorghum halepense,grass_or_grasslike,crop_context_sourced,corn; soybean,,matched,SOHA,,https://weedid.cals.vt.edu/profile/261/
VT-277,jointhead arthraxon,Arthraxon hispidus,grass_or_grasslike,source_index_only,,,matched,ARHI3,,https://weedid.cals.vt.edu/profile/277/
VT-161,jungle rice,Echinochloa colona,grass_or_grasslike,source_index_only,,,matched,ECCO2,,https://weedid.cals.vt.edu/profile/161/
VT-477,Kentucky bluegrass,Poa pratensis,grass_or_grasslike,source_index_only,,,matched,POPR,,https://weedid.cals.vt.edu/profile/477/
VT-512,kidneyleaf mudplantain,Heteranthera reniformis,broadleaf,source_index_only,,,matched,HERE,,https://weedid.cals.vt.edu/profile/512/
VT-419,kiss me over the garden gate,Polygonum orientale,broadleaf,source_index_only,,,matched,POOR2,,https://weedid.cals.vt.edu/profile/419/
VT-57,knawel,Scleranthus annuus,broadleaf,source_index_only,,,matched,SCAN2,,https://weedid.cals.vt.edu/profile/57/
VT-436,knotroot foxtail,Setaria parviflora,grass_or_grasslike,source_index_only,,,matched,SEPA10,pasture_forage; turf_landscape; roadside_disturbed,https://weedid.cals.vt.edu/profile/436/
VT-730,kochia,Kochia scoparia,broadleaf,source_index_only,,,matched,BASC5,,https://weedid.cals.vt.edu/profile/730/
VT-360,kudzu,Pueraria montana var. lobata,broadleaf,crop_context_sourced,pasture_hay,Tier 3,matched,PUMO,roadside_disturbed,https://weedid.cals.vt.edu/profile/360/
VT-20,lambsquarters,Chenopodium album,broadleaf,source_index_only,,,matched,CHAL7,turf_landscape,https://weedid.cals.vt.edu/profile/20/
VT-99,lanceleaf ragweed,Ambrosia bidentata,broadleaf,source_index_only,,,matched,AMBI2,,https://weedid.cals.vt.edu/profile/99/
